Nome da Atividade;Detalhes  
1. Exercício Matinal;Cardio e Força  
2. Ler Livro;Capítulo 3  
3. Aprender Kotlin;Corrotinas  
4. Meditar;10 minutos  
5. Planejar o Dia;Priorizar tarefas
6. Beber Água;8 copos
7. Ligar para Amigo;Dar um alô
8. Cozinhar Jantar;Refeição saudável
9. Caminhada Noturna;Ar fresco
10. Escrever Diário;Refletir sobre o dia
11. Acordar;Começar o dia cedo
12. Escovar os Dentes;Higiene dental
13. Tomar Banho;Refrescar-se
14. Arrumar a Cama;Organizar o quarto
15. Tomar Café da Manhã;Refeição saudável
16. Ir ao Trabalho/Escola;Deslocamento
17. Trabalhar no Projeto;Tempo de foco
18. Fazer Pausa;Alongar e relaxar
19. Almoçar;Refeição do meio-dia
20. Participar de Reunião;Discussão em equipe
21. Exercitar-se;Academia ou treino em casa
22. Ler Notícias;Manter-se informado
23. Checar E-mails;Responder mensagens
24. Fazer Compras;Comprar itens essenciais
25. Limpar a Casa;Organizar o espaço
26. Regar Plantas;Cuidar do jardim
27. Praticar Hobby;Tempo criativo
28. Ouvir Música;Relaxamento
29. Preparar Jantar;Cozinhar comida saudável
30. Assistir TV;Entretenimento
31. Aprender um Idioma;Praticar vocabulário diariamente
32. Voluntariar;Serviço comunitário
33. Planejar Orçamento;Controlar despesas
34. Fazer Networking;Conectar-se com profissionais
35. Participar de Workshop;Desenvolvimento de habilidades
36. Escrever Blog;Compartilhar pensamentos ou habilidades
37. Praticar Yoga;Flexibilidade e atenção plena
38. Explorar a Natureza;Caminhada ou visita ao parque
39. Tocar Instrumento;Praticar habilidades musicais
40. Assistir Aula;Aprendizado online ou presencial
41. Detox de Redes Sociais;Limitar tempo de tela
42. Preparar Refeições;Cozinhar para a semana
43. Projeto DIY;Artesanato ou melhoria doméstica
44. Assistir Documentário;Aprender sobre novos temas
45. Planejar Férias;Pesquisar e organizar viagem
46. Participar de Evento;Show, seminário ou encontro
47. Praticar Programação;Resolver problemas de código
48. Meditar por Mais Tempo;Sessão de 20-30 minutos
49. Praticar Esportes;Entrar em time local ou jogo
50. Atualizar Currículo;Adicionar conquistas recentes
51. Limpar Espaço Digital;Organizar arquivos e e-mails
52. Explorar Culinária;Experimentar novas receitas
53. Visitar Museu;Enriquecimento cultural
54. Tirar Fotos;Praticar fotografia
55. Planejar Metas de Carreira;Definir objetivos de curto e longo prazo
56. Participar de Terapia;Apoio à saúde mental
57. Praticar Oratória;Entrar em clube ou praticar
58. Participar de Clube do Livro;Discutir livros com outros
59. Aprender Técnicas de Meditação;Explorar diferentes métodos
60. Refletir sobre Metas;Avaliar progresso e ajustar
